,title
303,hardangerfolkebladhardanger
304,hardangersocialdemokrat
305,harstadtidende
306,haugalandarbeiderblad
307,haugalandnytt
308,haugesunderen
309,haugesundnytt
310,haugesundsarbeiderblad
311,haugesundsavis
312,haugesundsdagblad
313,hedemarkensamtstidende
314,hedemarkingen
315,hedmark
316,helgeland
317,helgelandarbeiderbla
318,helgelandarbeiderblad
319,helgelandfolkeblad
320,helgelandsblad
321,helgelandsfremtid
322,helgelendingen
323,herredsposten
324,hirdmannen
325,hitrafroya
326,hoenefossogoplandssocialdemokrat
327,hoeyangeravis
328,hordaland
329,hordalandfolkeblad
330,hordatidend
331,hortenarbeiderblad
332,hortensavis
333,hortensblad
334,hotenblad
335,hovaagavisa
336,iddogmarker
337,idrettsliv
338,igjoevik
339,inderoyningen
340,indheredsposten
341,indherred
342,indherredsposten
343,indlandsposten
344,indreakershus
345,indreakershusblad
346,indresmaalenenesavis
347,indtrondelagen
348,innherredsfolkebladv
349,innherredverdal
350,innsidano
351,inntrondelagen
352,itromso
353,jaerbladet
354,jarlsberg
355,jarlsbergoglarviksamtstidende
356,jernbanemanden
357,kanalen
358,karmoeynytt
359,karmoybladet
360,karmsund
361,karmsundposten
362,klaebuposten
363,klartale
364,klassekampen
365,kongsbergadresse
366,kongsbergblad
367,kongsbergdagblad
368,kongsbergtidende
369,kongsvingerarbeiderblad
370,konnerudposten
371,koperviktidende
372,krageroblad
373,kragerobladvestmar
374,krageroeavisa
375,krageroebladattensyttifire
376,kristiansandavis
377,kristiansundspostenatten
378,kristiansundspostennittenfoerti
379,kristiansundspostennittentrettiseks
380,kronstadposten
381,kulingen
382,kvinnheringen
383,kysten
384,kystogfjord
385,laagen
386,laagendalsposten
387,landmandsposten
388,landsbladetoslo
389,langesundsbladnittenseksten
390,langesundsposten
391,larvikblad
392,larvikdagblad
393,larvikmorgenavis
394,laurvigsblad
395,levangeravisa
396,lierposten
397,lillehammerbyavisno
398,lillehammertilskuer
399,lillesandsposten
400,lindesnes
401,listerfarsundatten
402,listerogmandalsamtstidendenitten
403,listerogmandalsamtstidendeogadresseavis
404,listertjuefjorten
405,loerenskogposten
406,loerenskogvel
407,lofotenfolkeblad
408,lofotposten
409,lofotposten2
410,lofottidende
411,lokalavisanordsalten
412,lokalavisatrysilengerdal
413,lokalavisaverrannamdalseid
414,lokalavisenfrogner
415,lokalavisenoppegaard
416,lokalavisensthanshau
417,lokalgroruddalenab
418,lokalgroruddalengs
419,lokalpostenrakkestad
420,lokalsorosterdal
421,lokalsorosterdalelve
422,lokalsorosterdaltrys
423,lyngdalsavis
424,malvikbladet
425,mandalsavis
426,mandalsbladet
427,marnartidend
428,marsteinen
429,meloyavisa
430,meraakerposten
431,middagsavisen
432,minaigi
433,minneapolisposten
434,minneapolistidende
435,minnesotaposten
436,mjolner
